skill_name,keyword,category
Python,python,linguagem
SQL,(sql|postgres(ql)?|mysql|snowflake|bigquery),linguagem
Java,java,linguagem
JavaScript,(javascript|js),linguagem
TypeScript,typescript,linguagem
C++,c\+\+,linguagem
Golang,golang,linguagem
AWS,aws,cloud
GCP,gcp,cloud
Azure,azure,cloud
Docker,docker,ferramenta
Kubernetes,kubernetes,ferramenta
Airflow,airflow,ferramenta
dbt,dbt,ferramenta
Spark,spark,ferramenta
Kafka,kafka,ferramenta
Git,git,ferramenta
Terraform,terraform,ferramenta
Linux,linux,ferramenta
Excel,excel,ferramenta
Postgres,postgres(ql)?,banco_de_dados
MySQL,mysql,banco_de_dados
MongoDB,mongodb,banco_de_dados
BigQuery,bigquery,banco_de_dados
Snowflake,snowflake,banco_de_dados
React,react,framework
Node.js,node\.js,framework
Django,django,framework
FastAPI,fastapi,framework
